"forme";"féminin";"féminin_pluriel";"pluriel";"z";"indice";"Id"
"mutualisé";"mutualisée";"mutualisées";"mutualisés";1;0;104250
"nasalisé";"nasalisée";"nasalisées";"nasalisés";1;0;104261
"nasillé";"nasillée";"nasillées";"nasillés";1;0;104262
"nationalisé";"nationalisée";"nationalisées";"nationalisés";1;0;104263
"naturalisé";"naturalisée";"naturalisées";"naturalisés";1;0;104265
"néantisé";"néantisée";"néantisées";"néantisés";1;0;104269
"nébulisé";"nébulisée";"nébulisées";"nébulisés";1;0;104270
"néologisé";"néologisée";"néologisées";"néologisés";1;0;104277
"neutralisé";"neutralisée";"neutralisées";"neutralisés";1;0;104280
"niaisé";"niaisée";"niaisées";"niaisés";1;0;104281
"nicotinisé";"nicotinisée";"nicotinisées";"nicotinisés";1;0;104284
"nolisé";"nolisée";"nolisées";"nolisés";1;0;104298
"nomadisé";"nomadisée";"nomadisées";"nomadisés";1;0;104299
"nominalisé";"nominalisée";"nominalisées";"nominalisés";1;0;104301
"normalisé";"normalisée";"normalisées";"normalisés";1;0;104306
"novelisé";"novelisée";"novelisées";"novelisés";1;0;104312
"novellisé";"novellisée";"novellisées";"novellisés";1;0;104313
"nucléarisé";"nucléarisée";"nucléarisées";"nucléarisés";1;0;104318
"numérisé";"numérisée";"numérisées";"numérisés";1;0;104322
"occasionné";"occasionnée";"occasionnées";"occasionnés";1;0;104344
"occidentalisé";"occidentalisée";"occidentalisées";"occidentalisés";1;0;104345
"officialisé";"officialisée";"officialisées";"officialisés";1;0;104357
"oiselé";"oiselée";"oiselées";"oiselés";1;0;104361
"opalisé";"opalisée";"opalisées";"opalisés";1;0;104366
"opposé";"opposée";"opposées";"opposés";1;62;104371
"optimalisé";"optimalisée";"optimalisées";"optimalisés";1;0;104375
"optimisé";"optimisée";"optimisées";"optimisés";1;0;104376
"oralisé";"oralisée";"oralisées";"oralisés";1;0;104377
"organisé";"organisée";"organisées";"organisés";1;62;104383
"orientalisé";"orientalisée";"orientalisées";"orientalisés";1;0;104385
"ostracisé";"ostracisée";"ostracisées";"ostracisés";1;0;104395
"ovalisé";"ovalisée";"ovalisées";"ovalisés";1;0;104412
"ozonisé";"ozonisée";"ozonisées";"ozonisés";1;0;104417
"pactisé";"pactisée";"pactisées";"pactisés";1;0;104422
"paganisé";"paganisée";"paganisées";"paganisés";1;0;104424
"palatalisé";"palatalisée";"palatalisées";"palatalisés";1;0;104443
"palettisé";"palettisée";"palettisées";"palettisés";1;0;104445
"paraisonné";"paraisonnée";"paraisonnées";"paraisonnés";1;0;104477
"parallélisé";"parallélisée";"parallélisées";"parallélisés";1;0;104479
"parasité";"parasitée";"parasitées";"parasités";1;0;104485
"parcellarisé";"parcellarisée";"parcellarisées";"parcellarisés";1;0;104486
"parcellisé";"parcellisée";"parcellisées";"parcellisés";1;0;104488
"parcorisé";"parcorisée";"parcorisées";"parcorisés";1;0;104490
"parkérisé";"parkérisée";"parkérisées";"parkérisés";1;0;104502
"particularisé";"particularisée";"particularisées";"particularisés";1;0;104513
"partouzé";"partouzée";"partouzées";"partouzés";1;0;104516
"pasteurisé";"pasteurisée";"pasteurisées";"pasteurisés";1;0;104525
"patoisé";"patoisée";"patoisées";"patoisés";1;0;104539
"paupérisé";"paupérisée";"paupérisées";"paupérisés";1;0;104547
"pavoisé";"pavoisée";"pavoisées";"pavoisés";1;0;104551
"paysagé";"paysagée";"paysagées";"paysagés";1;0;104553
"pénalisé";"pénalisée";"pénalisées";"pénalisés";1;0;104571
"pérennisé";"pérennisée";"pérennisées";"pérennisés";1;0;104588
"perméabilisé";"perméabilisée";"perméabilisées";"perméabilisés";1;0;104598
"perquisitionné";"perquisitionnée";"perquisitionnées";"perquisitionnés";1;0;104605
"personnalisé";"personnalisée";"personnalisées";"personnalisés";1;0;104612
"pétrarquisé";"pétrarquisée";"pétrarquisées";"pétrarquisés";1;0;104627
"philosophé";"philosophée";"philosophées";"philosophés";1;0;104633
"pindarisé";"pindarisée";"pindarisées";"pindarisés";1;0;104668
"plaisanté";"plaisantée";"plaisantées";"plaisantés";1;0;104697
"platinisé";"platinisée";"platinisées";"platinisés";1;0;104710
"podzolisé";"podzolisée";"podzolisées";"podzolisés";1;0;104732
"poétisé";"poétisée";"poétisées";"poétisés";1;0;104734
"polarisé";"polarisée";"polarisées";"polarisés";1;0;104747
"politisé";"politisée";"politisées";"politisés";1;0;104753
"polymérisé";"polymérisée";"polymérisées";"polymérisés";1;0;104756
"polyploïdisé";"polyploïdisée";"polyploïdisées";"polyploïdisés";1;0;104757
"popularisé";"popularisée";"popularisées";"popularisés";1;0;104771
"porphyrisé";"porphyrisée";"porphyrisées";"porphyrisés";1;0;104773
"positionné";"positionnée";"positionnées";"positionnés";1;0;104778
"positivé";"positivée";"positivées";"positivés";1;0;104779
"postérisé";"postérisée";"postérisées";"postérisés";1;0;104783
"postsynchronisé";"postsynchronisée";"postsynchronisées";"postsynchronisés";1;0;104788
"potentialisé";"potentialisée";"potentialisées";"potentialisés";1;0;104791
"préavisé";"préavisée";"préavisées";"préavisés";1;0;104813
"précarisé";"précarisée";"précarisées";"précarisés";1;0;104814
"précisé";"précisée";"précisées";"précisés";1;0;104820
"préconisé";"préconisée";"préconisées";"préconisés";1;0;104822
"présagé";"présagée";"présagées";"présagés";1;0;104851
"préselectionné";"préselectionnée";"préselectionnées";"préselectionnés";1;0;104853
"présenté";"présentée";"présentées";"présentés";1;0;104854
"préservé";"préservée";"préservées";"préservés";1;0;104855
"présidé";"présidée";"présidées";"présidés";1;0;104856
"pressurisé";"pressurisée";"pressurisées";"pressurisés";1;0;104860
"présumé";"présumée";"présumées";"présumés";1;8;104861
"présupposé";"présupposée";"présupposées";"présupposés";1;1;104862
"présuré";"présurée";"présurées";"présurés";1;0;104863
"primarisé";"primarisée";"primarisées";"primarisés";1;0;104872
"prisé";"prisée";"prisées";"prisés";1;0;104874
"prismatisé";"prismatisée";"prismatisées";"prismatisés";1;0;104875
"privatisé";"privatisée";"privatisées";"privatisés";1;0;104876
"professionnalisé";"professionnalisée";"professionnalisées";"professionnalisés";1;0;104889
"prolétarisé";"prolétarisée";"prolétarisées";"prolétarisés";1;0;104896
"prophétisé";"prophétisée";"prophétisées";"prophétisés";1;0;104908
"proposé";"proposée";"proposées";"proposés";1;0;104910
"prosodié";"prosodiée";"prosodiées";"prosodiés";1;0;104914
"proverbialisé";"proverbialisée";"proverbialisées";"proverbialisés";1;0;104923
"provisionné";"provisionnée";"provisionnées";"provisionnés";1;0;104925
"psychiatrisé";"psychiatrisée";"psychiatrisées";"psychiatrisés";1;0;104929
"puisé";"puisée";"puisées";"puisés";1;0;104933
"pulvérisé";"pulvérisée";"pulvérisées";"pulvérisés";1;0;104936
"punaisé";"punaisée";"punaisées";"punaisés";1;0;104937
"putanisé";"putanisée";"putanisées";"putanisés";1;0;104941
"pyrrhonisé";"pyrrhonisée";"pyrrhonisées";"pyrrhonisés";1;0;104946
"radicalisé";"radicalisée";"radicalisées";"radicalisés";1;0;104997
"radiobalisé";"radiobalisée";"radiobalisées";"radiobalisés";1;0;105000
"raisonné";"raisonnée";"raisonnées";"raisonnés";1;8;105029
"randomisé";"randomisée";"randomisées";"randomisés";1;0;105060
"rapprovisionné";"rapprovisionnée";"rapprovisionnées";"rapprovisionnés";1;0;105089
"rassasié";"rassasiée";"rassasiées";"rassasiés";1;1;105093
"ratiboisé";"ratiboisée";"ratiboisées";"ratiboisés";1;0;105104
"rationalisé";"rationalisée";"rationalisées";"rationalisés";1;0;105108
"ravisé";"ravisée";"ravisées";"ravisés";1;0;105125
"razzié";"razziée";"razziées";"razziés";1;0;105130
"réactualisé";"réactualisée";"réactualisées";"réactualisés";1;0;105135
"réalisé";"réalisée";"réalisées";"réalisés";1;0;105143
"réapprovisionné";"réapprovisionnée";"réapprovisionnées";"réapprovisionnés";1;0;105149
"rebaptisé";"rebaptisée";"rebaptisées";"rebaptisés";1;0;105158
"reboisé";"reboisée";"reboisées";"reboisés";1;0;105168
"rechristianisé";"rechristianisée";"rechristianisées";"rechristianisés";1;0;105212
"recristallisé";"recristallisée";"recristallisées";"recristallisés";1;0;105268
"recroisé";"recroisée";"recroisées";"recroisés";1;0;105269
"regazonné";"regazonnée";"regazonnées";"regazonnés";1;0;105361
"régionalisé";"régionalisée";"régionalisées";"régionalisés";1;0;105366
"régularisé";"régularisée";"régularisées";"régularisés";1;0;105381
