"forme";"féminin";"féminin_pluriel";"pluriel";"z";"indice";"Id"
"afflouant";"afflouante";"afflouantes";"afflouants";0;0;84779
"affluant";"affluante";"affluantes";"affluants";0;0;84780
"affolant";"affolante";"affolantes";"affolants";0;1;84781
"assyrien";"assyrienne";"assyriennes";"assyriens";0;0;46198
"astral";"astrale";"astrales";"astraux";0;0;46203
"astringent";"astringente";"astringentes";"astringents";0;0;46205
"astucieux";"astucieuse";"astucieuses";;0;2;46209
"asturien";"asturienne";"asturiennes";"asturiens";0;0;46210
"atemporel";"atemporelle";"atemporelles";"atemporels";0;0;46217
"athénien";"athénienne";"athéniennes";"athéniens";0;2;46223
"atonal";"atonale";"atonales";"atonaux";0;0;46231
"affouageant";"affouageante";"affouageantes";"affouageants";0;0;84782
"affouillant";"affouillante";"affouillantes";"affouillants";0;0;84783
"affourageant";"affourageante";"affourageantes";"affourageants";0;0;84784
"affourchant";"affourchante";"affourchantes";"affourchants";0;0;84785
"affourrageant";"affourrageante";"affourrageantes";"affourrageants";0;0;84786
"affranchissant";"affranchissante";"affranchissantes";"affranchissants";0;5;84787
"affrétant";"affrétante";"affrétantes";"affrétants";0;0;84788
"affriandant";"affriandante";"affriandantes";"affriandants";0;0;84789
"affrichant";"affrichante";"affrichantes";"affrichants";0;0;84790
"affriolant";"affriolante";"affriolantes";"affriolants";0;0;84791
"attenant";"attenante";"attenantes";"attenants";0;2;46245
"attentif";"attentive";"attentives";"attentifs";0;50;46249
"attentionné";"attentionnée";"attentionnées";"attentionnés";0;0;46250
"attractif";"attractive";"attractives";"attractifs";0;22;46257
"attrayant";"attrayante";"attrayantes";"attrayants";0;12;46258
"attributif";"attributive";"attributives";"attributifs";0;0;46260
"audacieux";"audacieuse";"audacieuses";;0;6;46267
"audiencier";"audiencière";"audiencières";"audienciers";0;0;46269
"auditif";"auditive";"auditives";"auditifs";0;1;46270
"augmentatif";"augmentative";"augmentatives";"augmentatifs";0;0;46272
"augural";"augurale";"augurales";"auguraux";0;0;46273
"augustinien";"augustinienne";"augustiniennes";"augustiniens";0;2;46275
"aurignacien";"aurignacienne";"aurignaciennes";"aurignaciens";0;0;46279
"austral";"australe";"australes";"australs";0;3;46281
"australien";"australienne";"australiennes";"australiens";0;21;46282
"affritant";"affritante";"affritantes";"affritants";0;0;84792
"affrontant";"affrontante";"affrontantes";"affrontants";0;0;84793
"affruitant";"affruitante";"affruitantes";"affruitants";0;0;84794
"affublant";"affublante";"affublantes";"affublants";0;0;84795
"affurant";"affurante";"affurantes";"affurants";0;0;84796
